"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0982",3,0.331091119485351,0.38384451519291,0.0383021641871958,77,-1.37729543035048,0.077,999,"WP4A0982"
"WP4A0983",3,0.352991343152867,0.383247444710573,0.0402424550957918,200,-0.751845320711304,0.2,999,"WP4A0983"
"WP4A0984",7,0.511813659855668,0.49208584249476,0.0269063417347403,774,0.73320325577507,0.774,999,"WP4A0984"
"WP4A0985",2,0.288798352661507,0.286489510827938,0.0475669526862837,412,0.0485387796186243,0.412,999,"WP4A0985"
"WP4A0986",8,0.467561076314662,0.504063880991091,0.0245606757557984,62,-1.48622965586813,0.062,999,"WP4A0986"
"WP4A0987",4,0.404527798195391,0.430109876181606,0.0353761396467775,189,-0.72314498533887,0.189,999,"WP4A0987"
"WP4A0988",2,0.294531630304794,0.287790893207054,0.0464618110772314,461,0.145081238579699,0.461,999,"WP4A0988"
"WP4A0989",4,0.37371575962848,0.431850438822928,0.0360864434791199,51,-1.61098389283183,0.051,999,"WP4A0989"
"WP4A0990",4,0.420045935879284,0.431322407184926,0.035702919344631,330,-0.315841715821442,0.33,999,"WP4A0990"
"WP4A0991",5,0.438635035640644,0.458886059682851,0.0326862105073397,238,-0.619558637354437,0.238,999,"WP4A0991"
